,system,threads,trial_num,num_keys,throughput
148,original,15,8,10000000,1205009.610554
149,original,15,9,10000000,1216083.728824
150,original,16,0,10000000,1852580.190323
151,original,16,1,10000000,1337725.353213
152,original,16,2,10000000,1902677.295276
153,original,16,3,10000000,1873448.9014
154,original,16,4,10000000,1874329.927051
155,original,16,5,10000000,1881403.828281
156,original,16,6,10000000,1877590.135592
157,original,16,7,10000000,1932496.729732
158,original,16,8,10000000,1883188.811147
159,original,16,9,10000000,1901278.76207
160,fixed,1,0,10000000,528105.567035
161,fixed,1,1,10000000,530973.883625
162,fixed,1,2,10000000,525062.74106
163,fixed,1,3,10000000,530661.8542
164,fixed,1,4,10000000,527685.55007
165,fixed,1,5,10000000,526863.949819
166,fixed,1,6,10000000,528098.092742
167,fixed,1,7,10000000,531876.587186
168,fixed,1,8,10000000,523736.552344
169,fixed,1,9,10000000,536459.044142
170,fixed,2,0,10000000,744833.740075
171,fixed,2,1,10000000,728746.384962
172,fixed,2,2,10000000,725940.639398
173,fixed,2,3,10000000,730273.700741
174,fixed,2,4,10000000,735303.579274
175,fixed,2,5,10000000,729411.361384
176,fixed,2,6,10000000,747277.872213
177,fixed,2,7,10000000,744180.729946
178,fixed,2,8,10000000,734855.527771
179,fixed,2,9,10000000,728876.680043
180,fixed,3,0,10000000,959355.098478
181,fixed,3,1,10000000,960402.693008
182,fixed,3,2,10000000,943766.877501
183,fixed,3,3,10000000,956915.272617
184,fixed,3,4,10000000,952152.707775
185,fixed,3,5,10000000,960781.476594
186,fixed,3,6,10000000,952375.691639
187,fixed,3,7,10000000,960417.266727
188,fixed,3,8,10000000,955645.802498
189,fixed,3,9,10000000,950700.476111
190,fixed,4,0,10000000,955540.880571
191,fixed,4,1,10000000,977345.617265
192,fixed,4,2,10000000,956055.117725
193,fixed,4,3,10000000,962733.732496
194,fixed,4,4,10000000,1919266.072654
195,fixed,4,5,10000000,979708.665993
196,fixed,4,6,10000000,958247.158965
197,fixed,4,7,10000000,950159.660078
198,fixed,4,8,10000000,961234.286343
199,fixed,4,9,10000000,968350.621943
200,fixed,5,0,10000000,880623.707024
201,fixed,5,1,10000000,887917.467716
202,fixed,5,2,10000000,878157.260754
203,fixed,5,3,10000000,884582.896607
204,fixed,5,4,10000000,885819.70079
205,fixed,5,5,10000000,1808125.026783
206,fixed,5,6,10000000,884484.236014
207,fixed,5,7,10000000,878526.184473
208,fixed,5,8,10000000,876917.907155
209,fixed,5,9,10000000,1602102.214442
210,fixed,6,0,10000000,1003380.388529
211,fixed,6,1,10000000,1274354.020389
212,fixed,6,2,10000000,2270718.718806
213,fixed,6,3,10000000,1277110.012428
214,fixed,6,4,10000000,2265647.638776
215,fixed,6,5,10000000,1256556.081354
216,fixed,6,6,10000000,2282047.882385
217,fixed,6,7,10000000,2291948.910625
218,fixed,6,8,10000000,1282078.238568
219,fixed,6,9,10000000,1043121.495177
220,fixed,7,0,10000000,1187208.68125
221,fixed,7,1,10000000,1129912.60578
222,fixed,7,2,10000000,1169682.576221
223,fixed,7,3,10000000,1175465.910607
224,fixed,7,4,10000000,1176515.572654
225,fixed,7,5,10000000,1191943.558135
226,fixed,7,6,10000000,1200061.539156
227,fixed,7,7,10000000,1181113.615334
228,fixed,7,8,10000000,1191392.002162
229,fixed,7,9,10000000,1193406.144633
230,fixed,8,0,10000000,1244524.868407
231,fixed,8,1,10000000,1312668.431768
232,fixed,8,2,10000000,1251843.809451
233,fixed,8,3,10000000,1272909.507081
234,fixed,8,4,10000000,1324892.00474
235,fixed,8,5,10000000,1278765.019894
236,fixed,8,6,10000000,2437888.096548
237,fixed,8,7,10000000,1302961.475077
238,fixed,8,8,10000000,1314215.527667
239,fixed,8,9,10000000,2434335.02974
240,fixed,9,0,10000000,1912191.771418
241,fixed,9,1,10000000,1969390.550431
242,fixed,9,2,10000000,2445235.885793
243,fixed,9,3,10000000,2346074.079635
244,fixed,9,4,10000000,2431724.472
245,fixed,9,5,10000000,2502196.302805
246,fixed,9,6,10000000,2461378.509803
247,fixed,9,7,10000000,2451500.735205
248,fixed,9,8,10000000,2530819.048969
249,fixed,9,9,10000000,2499775.645136
250,fixed,10,0,10000000,1727255.627442
251,fixed,10,1,10000000,1713591.073424
252,fixed,10,2,10000000,1780279.664132
253,fixed,10,3,10000000,1803259.030045
